Emotion,Tweet,,,,,,,,,,,,,,,,
hopelessness,Hysterias health ko lekar kuch concrete steps na lene se humein future ke liye hopelessness mahsoos hoti hai. Kaise hum is par rok sakte hain??????????????????,,,,,,,,,,,,,,,,
frustration,World war ke aftermath mein mental trauma aur hysterias health ko lekar gussa aata hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
frustration,War ke karan mental trauma aur hysterias health par hone wale nuksan se humein gussa aata hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
disgust,War ke aftermath mein mental trauma aur hysterias health ko lekar ki gayi kroorta dekhkar humein ghin aati hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
disgust,"Hysterias health ko lekar humare natural resources kamzor ho rahe hain, is baat se humein ghin aati hai. Kaise hum is par rok sakte hain?",,,,,,,,,,,,,,,,
grief,Hysterias health ke khatre ko dekhkar humein bahut dukh bhara hai. Kaise hum is situation ko sudhar sakte hain? ?????????,,,,,,,,,,,,,,,,
grief,War ke aftermath mein mental trauma aur hysterias health ko lekar humare natural habitats ko khona humein bahut dukhi kar raha hai. Kaise hum is par rok sakte hain? ??????????????,,,,,,,,,,,,,,,,
empathy,War ke aftermath mein mental trauma aur hysterias health ke victims ke prati hamari sahanubhuti hai. Kaise hum unki madad kar sakte hain?,,,,,,,,,,,,,,,,
empathy,Hysterias health ke victims ke prati hamari sahanubhuti hai. Kaise hum unki madad kar sakte hain?,,,,,,,,,,,,,,,,
resilience,Mental trauma aur hysterias health ko lekar humein nipatne ke liye humein resilient banna padega??????????.,,,,,,,,,,,,,,,,
resilience,"Hysterias health ko lekar haar nahi manenge, yeh iraada zaroori hai??????????",,,,,,,,,,,,,,,,
compassion,War ke aftermath mein mental trauma aur hysterias health ke liye humein ek dusre ki madad karni chahiye.,,,,,,,,,,,,,,,,
compassion,Hysterias health ko lekar humein ek dusre ki madad karni chahiye.,,,,,,,,,,,,,,,,
hope,"Despite the challenges, humein ummeed hai ki hum mental trauma aur hysterias health ko sudhar sakte hain.",,,,,,,,,,,,,,,,
hope,Humare efforts se hum mental trauma aur hysterias health ko sudhar sakte hain.,,,,,,,,,,,,,,,,
fear,World war ke aftermath mein mental trauma aur hysterias health ke liye humein dar lagta hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
fear,Hysterias health ke khatre ko dekhkar humein dar lagta hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
anger,World war ke aftermath mein mental trauma aur hysterias health ko lekar humein gussa aata hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
anger,War ke karan mental trauma aur hysterias health par hone wale nuksan se humein gussa aata hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
sadness,War ke aftermath mein mental trauma aur hysterias health ko lekar dil bahut dukhta hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
sadness,"Hysterias health ko lekar humare natural resources kamzor ho rahe hain, is baat se humein dukh hota hai. Kaise hum is par rok sakte hain?",,,,,,,,,,,,,,,,
anxiety,Kya humare efforts se mental trauma aur hysterias health ko lekar future mein kuch sudhar hoga? Kaise hum is par dhyan de sakte hain?,,,,,,,,,,,,,,,,
anxiety,"War ke aftermath mein mental trauma aur hysterias health ka koi ant nahi dikh raha, is wajah se humein chinta hoti hai. Kaise hum is par rok sakte hain?",,,,,,,,,,,,,,,,
shame,War ke aftermath mein mental trauma aur hysterias health ke liye humein sharm aati hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
shame,"Hysterias health ko lekar humare efforts kamzor pad rahe hain, is baat par humein sharm aati hai. Kaise hum is par sudhar la sakte hain?",,,,,,,,,,,,,,,,
hope,"Despite the challenges, humein ummeed hai ki hum mental trauma aur hysterias health ko sudhar sakte hain.",,,,,,,,,,,,,,,,
guilt,Kya humare actions se world war aur uske aftermath mein hone wale nuksan ka koi yogdan hai mental trauma aur hysterias health par,,,,,,,,,,,,,,,,
sadness,War ke aftermath mein bachon ki shiksha aur manasik swasthya ko lekar dil bahut dukhta hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
sadness,"Kids ki education aur mental health ko lekar humare natural resources kamzor ho rahe hain, is baat se humein dukh hota hai. Kaise hum is par rok sakte hain?",,,,,,,,,,,,,,,,
anxiety,Kya humare bachon ko future mein proper education aur mental health mil paayega? Kaise hum is par dhyan de sakte hain?,,,,,,,,,,,,,,,,
anxiety,"World war ke aftermath mein kids ki education aur mental health ka koi ant nahi dikh raha, is wajah se humein chinta hoti hai. Kaise hum is par rok sakte hain?",,,,,,,,,,,,,,,,
shame,War ke aftermath mein bachon ki education aur mental health ke liye humein sharm aati hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
shame,"Kids ke education aur mental health ko lekar humare efforts kamzor pad rahe hain, is baat par humein sharm aati hai. Kaise hum is par sudhar la sakte hain?",,,,,,,,,,,,,,,,
hope,"Despite the challenges, humein ummeed hai ki hum kids ki education aur mental health ko sudhar sakte hain.",,,,,,,,,,,,,,,,
guilt,Kya humare actions se world war aur uske aftermath mein hone wale nuksan ka koi yogdan hai bachon ki education aur mental health par?,,,,,,,,,,,,,,,,
guilt,World war ke aftermath mein mental trauma aur health issues ke liye humein guilt mahsoos hoti hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
guilt,Health issues ke khatre ko dekhkar humein guilt mahsoos hoti hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
hopelessness,World war ke aftermath mein mental trauma aur health issues ko lekar humein hopelessness mahsoos hoti hai. Kaise hum is par rok sakte hain????????????,,,,,,,,,,,,,,,,
hopelessness,Health issues ko lekar kuch concrete steps na lene se humein future ke liye hopelessness mahsoos hoti hai. Kaise hum is par rok sakte hain????????????,,,,,,,,,,,,,,,,
frustration,World war ke aftermath mein mental trauma aur health issues ko lekar gussa aata hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
frustration,War ke karan mental trauma aur health issues par hone wale nuksan se humein gussa aata hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
disgust,War ke aftermath mein mental trauma aur health issues ko lekar ki gayi kroorta dekhkar humein ghin aati hai. Kaise hum is par rok sakte hain???????,,,,,,,,,,,,,,,,
disgust,"Health issues ko lekar humare natural resources kamzor ho rahe hain, is baat se humein ghin aati hai. Kaise hum is par rok sakte hain???????",,,,,,,,,,,,,,,,
grief,Health issues ke khatre ko dekhkar humein bahut dukh bhara hai. Kaise hum is situation ko sudhar sakte hain? ????????????,,,,,,,,,,,,,,,,
grief,War ke aftermath mein mental trauma aur health issues ko lekar humare natural habitats ko khona humein bahut dukhi kar raha hai. Kaise hum is par rok sakte hain? ?????????,,,,,,,,,,,,,,,,
empathy,War ke aftermath mein mental trauma aur health issues ke victims ke prati hamari sahanubhuti hai. Kaise hum unki madad kar sakte hain?????????????,,,,,,,,,,,,,,,,
empathy,Health issues ke victims ke prati hamari sahanubhuti hai. Kaise hum unki madad kar sakte hain???????????,,,,,,,,,,,,,,,,
resilience,Mental trauma aur health issues ko lekar humein nipatne ke liye humein resilient banna padega.,,,,,,,,,,,,,,,,
resilience,"Health issues ko lekar haar nahi manenge, yeh iraada zaroori hai.",,,,,,,,,,,,,,,,
compassion,War ke aftermath mein mental trauma aur health issues ke liye humein ek dusre ki madad karni chahiye.,,,,,,,,,,,,,,,,
compassion,Health issues ko lekar humein ek dusre ki madad karni chahiye.,,,,,,,,,,,,,,,,
hope,"Despite the challenges, humein ummeed hai ki hum mental trauma aur health issues ko sudhar sakte hain.",,,,,,,,,,,,,,,,
hope,Humare efforts se hum mental trauma aur health issues ko sudhar sakte hain.,,,,,,,,,,,,,,,,
fear,World war ke aftermath mein mental trauma aur health issues ke liye humein dar lagta hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
fear,Health issues ke khatre ko dekhkar humein dar lagta hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
anger,World war ke aftermath mein mental trauma aur health issues ko lekar humein gussa aata hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
anger,War ke karan mental trauma aur health issues par hone wale nuksan se humein gussa aata hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
sadness,War ke aftermath mein mental trauma aur health issues ko lekar dil bahut dukhta hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
sadness,"Health issues ko lekar humare natural resources kamzor ho rahe hain, is baat se humein dukh hota hai. Kaise hum is par rok sakte hain?",,,,,,,,,,,,,,,,
anxiety,Kya humare efforts se mental trauma aur health issues ko lekar future mein kuch sudhar hoga? Kaise hum is par dhyan de sakte hain?,,,,,,,,,,,,,,,,
anxiety,"War ke aftermath mein mental trauma aur health issues ka koi ant nahi dikh raha, is wajah se humein chinta hoti hai. Kaise hum is par rok sakte hain?",,,,,,,,,,,,,,,,
shame,War ke aftermath mein mental trauma aur health issues ke liye humein sharm aati hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
shame,"Health issues ko lekar humare efforts kamzor pad rahe hain, is baat par humein sharm aati hai. Kaise hum is par sudhar la sakte hain?",,,,,,,,,,,,,,,,
hope,"Despite the challenges, humein ummeed hai ki hum mental trauma aur health issues ko sudhar sakte hain.",,,,,,,,,,,,,,,,
guilt,Kya humare actions se world war aur uske aftermath mein hone wale nuksan ka koi yogdan hai mental trauma aur health issues par?,,,,,,,,,,,,,,,,
guilt,Health issues ko lekar humare actions ke liye humein guilt mahsoos hoti hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
hopelessness,World war ke aftermath mein mental trauma aur health issues ko lekar humein hopelessness mahsoos hoti hai. Kaise hum is par rok sakte hain????????????????????,,,,,,,,,,,,,,,,
hopelessness,Health issues ko lekar kuch concrete steps na lene se humein future ke liye hopelessness mahsoos hoti hai. Kaise hum is par rok sakte hain???????????????,,,,,,,,,,,,,,,,
frustration,World war ke aftermath mein mental trauma aur health issues ko lekar gussa aata hai. Kaise hum is situation ko sudhar sakte hain?,,,,,,,,,,,,,,,,
frustration,War ke karan mental trauma aur health issues par hone wale nuksan se humein gussa aata hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
disgust,War ke aftermath mein mental trauma aur health issues ko lekar ki gayi kroorta dekhkar humein ghin aati hai. Kaise hum is par rok sakte hain?,,,,,,,,,,,,,,,,
hope,"hope honi chahiye, ek behtar duniya ki talaash mein humein aage badhna hoga.",,,,,,,,,,,,,,,,
gratitude,"Russia-Ukraine yudh ke peedit logon ke prati humein gratitude hai, jo unka sangharsh aur hosla dekhkar sikha ja sakta hai.",,,,,,,,,,,,,,,,
gratitude,"Yudh ke asar se humein gratitude honi chahiye, humare desh ke veer jawano ki aur unke parivaaron ki taraf.",,,,,,,,,,,,,,,,
guilt,"Russia-Ukraine yudh se humein guilt hai, ki kya humne kuch zyada nahi kar paayein.",,,,,,,,,,,,,,,,
guilt,"Yudh ke baad bhi, humein guilt hai, ki kaise hum apne desh ko is tarah se dekh sakte hain.",,,,,,,,,,,,,,,,
hopelessness,"Russia-Ukraine yudh ke baad bhi, hopelessness ka mahaul hai, lekin humein khud ko dobara se uthana hoga.????????????",,,,,,,,,,,,,,,,
hopelessness,"Yudh ke asar se humein ek bebas mehsoos hota hai, lekin humein dobara se hope dikhana hoga.???????????????????",,,,,,,,,,,,,,,,
frustration,"Russia-Ukraine yudh ke peedit logon ke liye humara frustration bhi hai, kyunki hum kuch zyada nahi kar paayein.",,,,,,,,,,,,,,,,
frustration,Yudh ke asar se humare desh mein hui tabahi aur destruction ko dekhkar humein frustration hota hai.,,,,,,,,,,,,,,,,
disgust,"Yudh se humein disgust aata hai, lekin ab humein is disgusted state se bahar nikalna hoga.",,,,,,,,,,,,,,,,
disgust,"Russia-Ukraine yudh ne humein duniya ke kuch logon ki kroorta ka sach dikha diya hai, aur isse humein disgust aata hai.",,,,,,,,,,,,,,,,
grief,"Russia-Ukraine yudh ne humein apnon ko khone ka dukh sikha diya hai, aur is dukh se humein guzarna hoga. ???????????",,,,,,,,,,,,,,,,
grief,"Yudh ke asar se humein grief hai, lekin ab humein is grief ko overcome karna hoga. ??????",,,,,,,,,,,,,,,,
empathy,"Russia-Ukraine yudh ke peedit logon ke prati humara empathy hai, aur ab humein unki madad mein yogdan dena hoga.",,,,,,,,,,,,,,,,
empathy,Yudh se humein ek dusre ke prati empathy aur samvedana ka izhaar karna hoga.,,,,,,,,,,,,,,,,
resilience,"Russia-Ukraine yudh ne humein majboot banaya hai, humein ab resilience aur determination dikhana hoga.",,,,,,,,,,,,,,,,
resilience,"Yudh ke asar se humein dobara se uthkar khada hona hoga, resilience aur hope dikhana hoga.",,,,,,,,,,,,,,,,
compassion,"Yudh ke baad, humein peedit logon ki madad mein compassion dikhana hoga, taaki unka sukoon mile.",,,,,,,,,,,,,,,,
compassion,Russia-Ukraine yudh se humein compassion aur ek dusre ke prati madad karne ki zarurat hai.,,,,,,,,,,,,,,,,
hope,"Yudh ke asar se humein ek behtar kal ki ummeed rakni chahiye, shaanti ka maahaul phir se banayenge.",,,,,,,,,,,,,,,,
hope,"Russia-Ukraine yudh ke baad bhi, humein hope honi chahiye ki hum sab ek behtar duniya ki taraf badh rahe hain.",,,,,,,,,,,,,,,,
shame,World War ne humein ek pal mein jhukne par majboor kiya. Lekin isse humein siksha mili ki unity aur samvedansheelta mein hi humari asli taqat chupi hai. fearsOnshame,,,,,,,,,,,,,,,,
hope,"Har andheri raat ke baad ek naya savera aata hai. World War ne churaya humse bahut kuch, lekin aaj bhi hai ek kiran hope ki jo kehti hai, ""Hum fir khade honge, aur behtar kal banayenge."" hopefulHorizons",,,,,,,,,,,,,,,,
guilt,"Dil ko chhoo jati hai yeh guilt ki baat. Humne socha, humse kya galti ho sakti hai? Par isse humein yeh sikh mila ki har kadam ka asar humare aas-paas ke logon par hota hai. guiltAndLfearning",,,,,,,,,,,,,,,,
disgust,"World War ke kalpana se hi uthhta hai yeh disgust. Insaniyat ko choo gaye vo lamhe, jab hum soch rahe the, ""Yeh kaise ho sakta hai?"" disgustedMemories??????",,,,,,,,,,,,,,,,
hopelessness,"Har taraf andhera, lekin humein nahi haarne ka iraada. World War ne sikhaaya ki har mushkil ka hal humare iraade mein chhupa hua hai. UnyieldingResolve",,,,,,,,,,,,,,,,
resilience,"Humari resilience, humari asli taqat hai. World War ne humein giraya, par hum fir se khade hue, aur dikhaya ki hum hamesha dubara uthe sakte hain. RisingFromTheAshes",,,,,,,,,,,,,,,,
frustration,"Yudh ka asar, frustration mein dikhta hai. Par kya yeh frustration humein kuch sikhata hai ya sirf humein tutne ka ehsaas deta hai? ReflectingOnfrustration",,,,,,,,,,,,,,,,
gratitude,"Har lamha, har saans, gratitude ka izhaar karte hain hum. World War ne sikhaaya ki zindagi ki kimat ko samajhna zaroori hai. GratefulForLife",,,,,,,,,,,,,,,,
grief,"Har ek khoi gayi zindagi ki yaad, grief mein chhupa hai. World War ne humein dikhaya ki har ek vyakti ki ahmiyat hai. RememberingLostLives",,,,,,,,,,,,,,,,
empathy,Insaaniyat mein bharpoor empathy hai. World War ne humein ek dusre ke dard ko samajhne ki zarurat sikhayi. ConnectingThroughempathy????????????????,,,,,,,,,,,,,,,,
compassion,"World War ne humein sikhaya ki compassion se hi hum ek dusre ka saath denge, aur ek naye safar ki shuruaat karenge. compassionForChange",,,,,,,,,,,,,,,,
disgust,"Aur ek baar, yeh disgust. Yeh humare mann ko hilata hai jab hum sochte hain us kalpana ke baare mein, jismein hume kuch pata bhi nahi tha. disgustAtIgnorance????",,,,,,,,,,,,,,,,
gratitude,Har ek nayi subah ke liye hum shukriya ada karte hain. World War ne sikhaaya ki har din ek naya tohfa hai. gratitudeForNewBeginnings,,,,,,,,,,,,,,,,
guilt,"guilt, ek bhaari bojh. Lekin isse humein sikh mili ki humein apne karmo ka samna karna hoga. Confrontingguilt",,,,,,,,,,,,,,,,
hopelessness,"World War ka andhera, lekin kuch ne dekha ek naya roshni ka sapna. hopelessness ko harana humare haath mein hai. DefeatingDarkness??????????",,,,,,,,,,,,,,,,
guilt,Fir ek baar guilt ka ehsaas. Kya humein yeh sikhna chahiye ki humein khud se maaf karna zaroori hai? LfearningToForgive,,,,,,,,,,,,,,,,
grief,"Har ek chali gayi zindagi, ek dard chhod gayi hai. World War ne humein yeh sikhaya ki har ek vyakti ki ahmiyat hai. RespectingLostLives ?????????",,,,,,,,,,,,,,,,
empathy,"Ek dusre ke dard ko samajhna, yeh hai empathy. World War ne humein dikhaya ki yeh ek taqat hai jo humein ek dusre ke kareeb le aati hai. UnderstandingThroughempathy",,,,,,,,,,,,,,,,
frustration,"Yudh ka asar, frustration mein dikhta hai. Lekin kya yeh frustration humein kuch sikhata hai ya sirf humein tutne ka ehsaas deta hai? ReflectingOnfrustration",,,,,,,,,,,,,,,,
resilience,"Har girte hue insaan mein ek resilience chhupi hoti hai. World War ne humein sikhaya ki haar nahi, jeetne ka junoon zaroori hai. Embracingresilience",,,,,,,,,,,,,,,,
compassion,"World War ne humein sikhaya ki compassion se hi hum ek dusre ka saath denge, aur ek naye safar ki shuruaat karenge. compassionForChange",,,,,,,,,,,,,,,,
grief,"Har ek khoi gayi zindagi ki yaad, grief mein chhupa hai. World War ne humein dikhaya ki har shakhs, har zindagi, ek anmol gehna hai. RememberingLostLives ??????",,,,,,,,,,,,,,,,
empathy,Insaaniyat mein bharpoor empathy hai. World War ne humein ek dusre ke dard ko samajhne ki zarurat sikhayi. ConnectingThroughempathy????????????,,,,,,,,,,,,,,,,
empathy,"Ek dusre ke dard ko samajhna, yeh hai empathy. World War ne humein dikhaya ki yeh ek taqat hai jo humein ek dusre ke kareeb le aati hai. UnderstandingThroughempathy????????????",,,,,,,,,,,,,,,,
resilience,"Har girte hue insaan mein ek resilience chhupi hoti hai. World War ne humein sikhaya ki haar nahi, jeetne ka junoon zaroori hai. Embracingresilience??????????????",,,,,,,,,,,,,,,,
resilience,"World War ne humein sikhaya ki resilience ka asli matlab hai khud ko dobara uthana, har mushkil ko sahna aur aage badhna. hopeInresilience????????????????",,,,,,,,,,,,,,,,
compassion,World War ne humein sikhaya ki compassion se hi hum ek dusre ka saath denge.,,,,,,,,,,,,,,,,
shame,"World War ne insaniyat ko ek naye darje par pahuncha diya. shame ka ehsaas, jab hum sochte hain ki humare actions se kitni badi nuksan hui.",,,,,,,,,,,,,,,,
hope,"World War ke baad, ek kiran hope ki chamak. Insaaniyat ki spirit, jo ek behtar bhavishya ki ummid mein chipki hai.",,,,,,,,,,,,,,,,
guilt,"guilt, ek bhaari bojh, jise woh log saath lekar chalte hain jo yudh ke dauran faisley lete hain. Ek bachi hui feeling jo sochne aur sudharne ki prerana deti hai.",,,,,,,,,,,,,,,,
disgust,Yudh ke khatron se utpann gandagi ka gehra ehsaas. Insaaniyat aur janwaron ki zindagi par reh jaane wala gehra prabhav.,,,,,,,,,,,,,,,,
hopelessness,"Tabbahi ke beech, ek vyapak hopelessness ka mahaul. Fir bhi, iske beech, resilience ke beej ugte hain, jo humein yaad dilate hain ki andhere mein bhi ek naya savera sambhav hai.",,,,,,,,,,,,,,,,
resilience,"Yudh ne insaniyat aur janwar samudayon ki resilience ko parakh liya. Tabahi ke bawajood, jivit rahne aur dobara banne ki ichha sab par bhari.",,,,,,,,,,,,,,,,
frustration,"frustration yudh ke parinaamon mein gunjti hai. Tabah hone ke samne shakti ka abhav, jo humein prashna karne aur samadhan ki talash karne par majboor karta hai.",,,,,,,,,,,,,,,,
gratitude,"Shukriya un jeevanon ke liye aur mauka dene ke liye dobara banne ka. Yeh ahsaas ki har saans, insaniyat ya janwar, ek keemti tohfa hai, jo mahobbat aur samvedana ke laayak hai.",,,,,,,,,,,,,,,,
grief,"Dukh, anek zindagiyon ke kho jane par ek saya chhodta hai. Ek sangheet jo un atmanon ke liye hai, jo yudh ke kroorpan mein shikar ho gaye. ??????????????",,,,,,,,,,,,,,,,
empathy,"Samvedana, ek pul jo insaanon aur janwaron dono ke dard ko jodti hai. Ek saanjha samajh, jo jati simayein par paar karke bhaavnaon ko transcend karta hai.",,,,,,,,,,,,,,,,
compassion,"compassion, yudh ke parinaamon mein ek marga-darshan banta hai. Ek awaaz, jo sirf humare saathiyon ke liye hi nahi, balki hamare charon or ki dukh bhari zindagiyon ke liye bhi hai.",,,,,,,,,,,,,,,,
disgust,"Atyacharon par gussa, jo yudh ke dauran hue. Ek samuhik nafrat, jeevan ke liye, jise insaanon aur janwaron ke rajyon dono par asar pada.",,,,,,,,,,,,,,,,
gratitude,"Ek naye gratitude ka ahsaas, prakriti ki resilience aur insaan aur janwar dono ki zindagi ke prati. Ek manthan ki saakshi, yudh ke jhatkon ke bawajood bhi.",,,,,,,,,,,,,,,,
guilt,"guilt ka bojh, jo un logon ke dilon mein gunjta hai jo yudh ke parinaamon se nipat rahe hain. Maafi ki talash aur badlav ki zarurat ko manzoori aur samman ke saath.",,,,,,,,,,,,,,,,
hopelessness,"hopelessness, yudh ke parinaamon par ek gehra badal. Fir bhi, iske andar, umeed ke kiran nikal aati hain, jise punarbanane aur swasth karne ki determination se bhara gaya hai.?????????????????????",,,,,,,,,,,,,,,,
guilt,"guilt ka echo un dil se, jo yudh ke parinaamon ka saamna kar rahe hain. Ek samajh ki darkhwast aur guzishta galtiyon ko sudharne ki prati ka commitment.",,,,,,,,,,,,,,,,
grief,"grief, ek samuhik atma par chhaya hua nishan. Un zindagiyon ke li",,,,,,,,,,,,,,,,
shame,Lagta hai jaise maa ne apne bachon ko chhod diya ho. shame ka ehsaas rehta hai jab hum alag hone aur nuksan ka samna karte hain.,,,,,,,,,,,,,,,,
hope,"Dukh bhari sthiti mein bhi, ek kiran hope ki chamak hai. Woh spirit jo musibat ka saamna karke dobara banna chahti hai.",,,,,,,,,,,,,,,,
guilt,"guilt ka bojh, jab faisley ke natije ka saamna karna padta hai. Woh bhoj jo unke saath hai jo mushkil samay mein liye gaye faislon ka asar mehsoos kar rahe hain.",,,,,,,,,,,,,,,,
disgust,Ghar parivaaron ke dilchasp drishyon par gussa. Jo nainsaafiyon ko dekhkar insaniyat mein ghrina ka gehra ehsaas paida hota hai????.,,,,,,,,,,,,,,,,
hopelessness,"Alag hui families aur tuti hui rishton ke aage, ek vyapak ashaheen mahaul hai. Lekin iske bich, resilience ke beej ugte hain, jo shifa aur dobara banane ki sambhavna ko prastut karte hain.",,,,,,,,,,,,,,,,
resilience,"Alag hone ke andhere mein, resilience chamakta hai. Woh iraada jo kasht aur buniyad banane ki disha mein unchaaiyan chhoo raha hai.",,,,,,,,,,,,,,,,
frustration,"Alag hone ke dard ke saath, ek vyapak frustration ka gunjana. Woh mehsoos jo mushkil paristhitiyon ka saamna karne mein samvedansheelta ki seema ko pareekshan karta hai.",,,,,,,,,,,,,,,,
disgust,Ghar parivaaron ke dilchasp drishyon par gussa. Jo nainsaafiyon ko dekhkar insaniyat mein ghrina ka gehra ehsaas paida hota hai.,,,,,,,,,,,,,,,,
hopelessness,"Alag hui families aur tuti hui rishton ke aage, ek vyapak ashaheen mahaul hai. Lekin iske bich, resilience ke beej ugte hain, jo shifa aur dobara banane ki sambhavna ko prastut karte hain.",,,,,,,,,,,,,,,,
hopelessness,"Hasratein ki hansi sunai deti hai jaise alag hone ka dard ko taane maarte huye. Kuch log toh keh rahe hain ki yeh ek bura idea hai, par kuch keh rahe hain ki unity badhegi. Kya aapko lagta hai humein ek dusre ke saath judna chahiye ya fir peace maintain karna chahiye?",,,,,,,,,,,,,,,,
disgust,Ghar parivaaron ke dilchasp drishyon par gussa. Jo nainsaafiyon ko dekhkar insaniyat mein ghrina ka gehra ehsaas paida hota hai????.,,,,,,,,,,,,,,,,
gratitude,"Shakti ko mehsoos karne ke liye shukriya, jab sabse asambhav ke samne bhi. Ek pahchaan resilience ki, alag hone ke chaos ke beech.",,,,,,,,,,,,,,,,
gratitude,"Shakti ko mehsoos karne ke liye shukriya, jab sabse asambhav ke samne bhi. Ek pahchaan resilience ki, alag hone ke chaos ke beech.",,,,,,,,,,,,,,,,
guilt,"guilt ka bojh, jab faisley ke natije ka saamna karna padta hai. Woh bhoj jo unke saath hai jo mushkil samay mein liye gaye faislon ka asar mehsoos kar rahe hain.",,,,,,,,,,,,,,,,
guilt,"guilt ka bojh, jab faisley ke natije ka saamna karna padta hai. Woh bhoj jo unke saath hai jo mushkil samay mein liye gaye faislon ka asar mehsoos kar rahe hain.",,,,,,,,,,,,,,,,
hopelessness,"Alag hui families aur tuti hui rishton ke aage, ek vyapak ashaheen mahaul hai. Lekin iske bich, resilience ke beej ugte hain, jo shifa aur dobara banane ki sambhavna ko prastut karte hain.???????????????",,,,,,,,,,,,,,,,
guilt,"guilt ka echo un dil se, jo mushkil samay mein liye gaye faislon ke parinaamon ka saamna kar rahe hain. Ek samajhane aur badlav karne ki darkhwast.",,,,,,,,,,,,,,,,
grief,"Hasratein ki hansi sunai deti hai jaise alag hone ka dard ko taane maarte huye. Kuch log toh keh rahe hain ki yeh ek bura idea hai, par kuch keh rahe hain ki unity badhegi. Kya aapko lagta hai humein ek dusre ke saath judna chahiye ya fir peace maintain karna chahiye?",,,,,,,,,,,,,,,,
empathy,"empathy alag hone wale parivaaron ke beech ek pul banata hai. Woh saanjha samajh jo har aansoo, har saans mein ek saanjha anubhav hai.",,,,,,,,,,,,,,,,
frustration,"Alag hone ke dard ke saath, ek vyapak frustration ka gunjana. Woh mehsoos jo mushkil paristhitiyon ka saamna karne mein samvedansheelta ki seema ko pareekshan karta hai.",,,,,,,,,,,,,,,,
resilience,"Alag hone ke andhere mein, resilience chamakta hai. Woh iraada jo kasht aur buniyad banane ki disha mein unchaaiyan chhoo raha hai.",,,,,,,,,,,,,,,,
compassion,"compassion alag hone ke parinaamon mein ek marga-darshan banta hai. Ek awaaz, jo sirf alag hone wale parivaaron ke liye hi nahi, balki hamare charon or ke dukh bhari dilon ke liye bhi hai.",,,,,,,,,,,,,,,,
grief,"Hasratein ki hansi sunai deti hai jaise alag hone ka dard ko taane maarte huye. Kuch log toh keh rahe hain ki yeh ek bura idea hai, par kuch keh rahe hain ki unity badhegi. Kya aapko lagta hai humein ek dusre ke saath judna chahiye ya fir peace maintain k",,,,,,,,,,,,,,,,
guilt,Guzre hue bhayankar yudh ki parnali mein phir se galtiyon ka bojh. Itihas ki sabak seekhne ka samay: Kya yeh ek bura vichar hai ya phir ekta ka samarthan jeetega?,,,,,,,,,,,,,,,,
grief,"Jeevan khota hai, sukhad ghatnayon ka saaya hai. Duniya bhar mein log isse ro rahe hain, jaise ki Pahle Vishva Yudh, Hiroshima aur Nagasaki ke khatarnak prabhavit hote hain. Kya humein milke rona chahiye ya fir shanti banaye ?????????????????? rakhni chahiye?",,,,,,,,,,,,,,,,
empathy,"Samvedna ek marga prashasta ban jaati hai, jisse vyakti yudh ke parinam se guzar rahe hain, Hiroshima aur Nagasaki jaise. Kya ekta is samasya ka samadhan hai, ya yeh ek bura vichar hai insani jodiyon ko ignore karne ka?",,,,,,,,,,,,,,,,
resilience,"Yudh ke bache hue prabhaviton ke saamne atmasamarpita pradarshan. Hiroshima aur Nagasaki mein dikhai gayi fir basne waali bhavana. Prashna yeh hai: Yudh mein bhag lene ka ek bura vichar hai, ya ekta ek sundar bhavishya ke liye vijayi ho sakti hai?",,,,,,,,,,,,,,,,
